participant_id,structure_condition,load_condition,block,trial_type,stimulus,shape,fill,target_word,suffix,irregular,word_typed,correct_word,edit_distance,normed_edit_distance,accuracy,target_sequence,sequence_typed,digits_correct,response_time
1,unstructured,load,training,interference,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,973,973,3,3537.6
1,unstructured,load,training,interference,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,624,624,3,4399.2
1,unstructured,load,training,interference,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,614,624,2,4819.9
1,unstructured,load,training,interference,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,175,175,3,2237.1
1,unstructured,load,training,interference,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,572,572,3,2171.4
1,unstructured,load,training,interference,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,279,279,3,3666.4
1,unstructured,load,training,interference,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,806,806,3,2919.7
1,unstructured,load,training,interference,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,204,204,3,3449.7
1,unstructured,load,training,interference,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,264,264,3,2485.5
1,unstructured,load,training,interference,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,835,835,3,2155.5
1,unstructured,load,training,interference,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,708,708,3,1920.4
1,unstructured,load,training,interference,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,608,608,3,1680.2
1,unstructured,load,training,interference,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,742,742,3,1748.3
1,unstructured,load,training,interference,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,809,809,3,1451.7
1,unstructured,load,training,interference,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,726,726,3,2834.1
1,unstructured,load,training,interference,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,908,908,3,1467.4
1,unstructured,load,training,interference,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53,53,3,4208.5
1,unstructured,load,training,interference,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,851,851,3,3049.7
1,unstructured,load,training,interference,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,948,948,3,1695
