participant_id,structure_condition,load_condition,method,statistic,N,mean,sd,p.value,p.approx,is.unique.max,alternative,z_score,time
1,unstructured,load,pearson,-0.045060591,36,-0.001667242,0.167249517,0.569430569,0.602357038,FALSE,greater,-0.259452762,output
2,unstructured,no load,pearson,0.399680383,36,-0.003037571,0.1632679,0.004995005,0.006819974,FALSE,greater,2.466608281,output
3,unstructured,load,pearson,0.23122144,36,0.007052541,0.17274331,0.112887113,0.097195315,FALSE,greater,1.29769946,output
4,structured,no load,pearson,0.539427815,36,-0.009212859,0.186709702,0.008991009,0.001649188,FALSE,greater,2.938469021,output
5,structured,no load,pearson,0.63652395,36,-0.000871033,0.195348046,0.003996004,0.000551453,FALSE,greater,3.262868488,output
6,partial,load,pearson,0.500065049,36,-0.000322623,0.168979528,0.002997003,0.001532053,FALSE,greater,2.961232503,output
7,unstructured,no load,pearson,0.519926426,36,-0.012310516,0.188379274,0.004995005,0.002361467,FALSE,greater,2.825347663,output
8,structured,load,pearson,0.904534034,36,0.002077078,0.204025826,0.000999001,4.86139E-06,TRUE,greater,4.423248621,output
9,structured,load,pearson,0.816496581,36,0.00244949,0.175954953,0.000999001,1.85992E-06,TRUE,greater,4.62645171,output
10,structured,load,pearson,0.92807245,36,0.003741292,0.1861596,0.000999001,3.43042E-07,TRUE,greater,4.965261829,output
11,unstructured,load,pearson,-0.180613942,36,0.008311927,0.171516508,0.859140859,0.864661001,FALSE,greater,-1.101502544,output
12,structured,load,pearson,0.332523735,36,-0.015621615,0.187938566,0.055944056,0.031981168,FALSE,greater,1.8524423,output
13,unstructured,no load,pearson,0.471671984,36,-0.004245048,0.169265507,0.006993007,0.00246433,FALSE,greater,2.811659857,output
14,structured,no load,pearson,0.83335958,36,-0.007341501,0.192645655,0.000999001,6.38597E-06,TRUE,greater,4.363976331,output
15,unstructured,no load,pearson,0.555423188,36,-0.002426909,0.191675249,0.004995005,0.001804879,FALSE,greater,2.910391923,output
16,structured,no load,pearson,0.83854816,36,-0.006938575,0.190692045,0.000999001,4.62974E-06,TRUE,greater,4.433780829,output
17,partial,load,pearson,0.363421892,36,-0.002076697,0.154587815,0.008991009,0.009031045,FALSE,greater,2.364342813,output
18,unstructured,load,pearson,0.1731901,36,0.005908839,0.126715035,0.247752248,0.093394569,FALSE,greater,1.320137428,output
19,partial,load,pearson,0.520435259,36,-0.001469464,0.195273058,0.006993007,0.003762266,FALSE,greater,2.672691906,output
20,unstructured,load,pearson,0.340502612,36,-0.008938194,0.181314323,0.027972028,0.026973287,FALSE,greater,1.927265315,output
21,structured,no load,pearson,0.423414066,36,-0.001430848,0.163903315,0.005994006,0.004770352,FALSE,greater,2.59204588,output
22,partial,no load,pearson,0.542680954,36,-0.010672725,0.162925863,0.000999001,0.000341452,TRUE,greater,3.396352613,output
23,partial,load,pearson,0.376345459,36,0.001839911,0.186083122,0.024975025,0.022079876,FALSE,greater,2.012571279,output
24,unstructured,load,pearson,-0.144004608,36,0.01468847,0.170581092,0.75024975,0.823894369,FALSE,greater,-0.930308725,output
25,unstructured,load,pearson,0.546663571,36,-0.006559963,0.186449064,0.002997003,0.00150284,FALSE,greater,2.967156407,output
26,partial,load,pearson,2.19275E-18,36,-0.002686071,0.182187851,0.493506494,0.494118441,FALSE,greater,0.014743416,output
27,structured,no load,pearson,0.754731908,36,0.001140484,0.175128973,0.000999001,8.42255E-06,TRUE,greater,4.303065408,output
28,unstructured,no load,pearson,0.419079038,36,-0.001227303,0.171907648,0.002997003,0.007243525,FALSE,greater,2.444954284,output
29,partial,load,pearson,0.646846227,36,-0.0016818,0.182156472,0.001998002,0.00018523,FALSE,greater,3.560279917,output
30,unstructured,load,pearson,0.631602131,36,-0.003760236,0.186611106,0.001998002,0.000331135,FALSE,greater,3.404740375,output
31,partial,load,pearson,-0.167038276,36,0.008986659,0.173802358,0.808191808,0.844419273,FALSE,greater,-1.012787958,output
32,structured,load,pearson,0.909068682,36,-0.005559305,0.187410776,0.000999001,5.2952E-07,TRUE,greater,4.8803383,output
33,partial,no load,pearson,0.626219807,36,0.000710844,0.172266335,0.000999001,0.000141131,TRUE,greater,3.631057479,output
34,partial,no load,pearson,0.248451997,36,-0.002086997,0.181649504,0.211788212,0.083909763,FALSE,greater,1.379244034,output
35,partial,no load,pearson,0.822885023,36,0.015075254,0.204496673,0.003996004,3.90374E-05,FALSE,greater,3.950234287,output
36,partial,load,pearson,0.525923706,36,0.001860961,0.187919935,0.008991009,0.00264555,FALSE,greater,2.788755461,output
37,structured,no load,pearson,0.55215763,36,0.003165704,0.185979171,0.001998002,0.001579126,FALSE,greater,2.951900056,output
38,partial,no load,pearson,0.587746788,36,-0.000723381,0.194960966,0.000999001,0.001270566,TRUE,greater,3.018399948,output
39,unstructured,no load,pearson,0.499662128,36,0.007871525,0.187280064,0.006993007,0.004320205,FALSE,greater,2.625963452,output
40,structured,load,pearson,0.904534034,36,-0.004489169,0.186590488,0.000999001,5.53056E-07,TRUE,greater,4.871755323,output
41,partial,load,pearson,0.703554547,36,0.001156956,0.190330106,0.000999001,0.000111943,TRUE,greater,3.690417682,output
42,structured,no load,pearson,0.272374035,36,0.007081725,0.159312594,0.050949051,0.047933314,FALSE,greater,1.665231254,output
43,partial,no load,pearson,0.372793074,36,-0.004722046,0.151714853,0.004995005,0.006417408,FALSE,greater,2.488320105,output
44,structured,load,pearson,0.343807082,36,0.006051005,0.13726889,0.005994006,0.006936337,FALSE,greater,2.460543516,output
45,unstructured,load,pearson,0.377590065,36,0.002926323,0.172231456,0.02997003,0.01480194,FALSE,greater,2.175350254,output
46,structured,no load,pearson,0.83854816,36,-0.001150948,0.201922309,0.001998002,1.60154E-05,FALSE,greater,4.158525677,output
48,structured,load,pearson,0.092362361,36,-0.00326347,0.167054795,0.315684316,0.283518075,FALSE,greater,0.572421947,output
49,partial,no load,pearson,0.304892269,36,-0.012312957,0.186205243,0.038961039,0.044234962,FALSE,greater,1.703524679,output
50,partial,no load,pearson,0.379304777,36,-0.011603917,0.16570406,0.004995005,0.009160219,FALSE,greater,2.359077338,output
51,partial,load,pearson,0.165324769,36,0.005651101,0.181410977,0.264735265,0.189381868,FALSE,greater,0.880176437,output
52,structured,no load,pearson,0.461934885,36,0.003375678,0.16275312,0.004995005,0.00241985,FALSE,greater,2.817514073,output
53,structured,no load,pearson,0.835079012,36,-0.006339784,0.190145013,0.000999001,4.81893E-06,TRUE,greater,4.425142602,output
54,partial,load,pearson,0.277481887,36,-0.001603229,0.182953454,0.082917083,0.063574286,FALSE,greater,1.525443276,output
55,partial,load,pearson,-0.104361435,36,0.003011573,0.152027988,0.737262737,0.759990288,FALSE,greater,-0.706271321,output
56,partial,load,pearson,0.027586863,36,0.009986444,0.194013165,0.422577423,0.463858473,FALSE,greater,0.090717651,output
57,partial,no load,pearson,0.548739685,36,0.009206632,0.181290705,0.003996004,0.001459861,FALSE,greater,2.976065713,output
